sym_importers	mod_importers	module	symbol	kind
0	0	tldw_chatbook.Utils.Splash	get_ascii_art	def
0	0	tldw_chatbook.Utils.Splash	get_splash_card_config	def
0	0	tldw_chatbook.Utils.Splash	print_tldw_ascii	def
0	0	tldw_chatbook.Utils.cost_estimation	calculate_token_cost	def
0	0	tldw_chatbook.Utils.cost_estimation	estimate_evaluation_cost	def
0	0	tldw_chatbook.Utils.cost_estimation	get_model_cost_per_1k_tokens	def
0	0	tldw_chatbook.Utils.debug_helpers	add_debug_test_message	def
0	0	tldw_chatbook.Utils.debug_helpers	check_widget_hierarchy	def
0	0	tldw_chatbook.Utils.debug_helpers	debug_window_visibility_snippet	def
0	0	tldw_chatbook.Utils.ingestion_preferences	get_global_ingestion_mode_preference	def
0	0	tldw_chatbook.Utils.ingestion_preferences	get_ingestion_mode_preference	def
0	0	tldw_chatbook.Utils.ingestion_preferences	save_global_ingestion_mode_preference	def
0	0	tldw_chatbook.Utils.ingestion_preferences	save_ingestion_mode_preference	def
0	0	tldw_chatbook.Utils.pagination	LazyPaginator	class
0	0	tldw_chatbook.Utils.pagination	PaginatedResult	class
0	0	tldw_chatbook.Utils.pagination	paginated_fetch	def
0	0	tldw_chatbook.Utils.pagination	paginated_fetch_async	def
0	0	tldw_chatbook.Utils.ui_helpers	UIHelpers	class
0	0	tldw_chatbook.Utils.ui_responsiveness_artifacts	write_responsiveness_artifacts	def
0	0	tldw_chatbook.Widgets.base_components	ActionButtonRow	class
0	0	tldw_chatbook.Widgets.base_components	ButtonConfig	class
0	0	tldw_chatbook.Widgets.base_components	ConfigurationForm	class
0	0	tldw_chatbook.Widgets.base_components	FormField	class
0	0	tldw_chatbook.Widgets.base_components	NavigationButton	class
0	0	tldw_chatbook.Widgets.base_components	SectionContainer	class
0	0	tldw_chatbook.Widgets.base_components	StatusDisplay	class
0	0	tldw_chatbook.Widgets.base_components	create_button_row	def
0	0	tldw_chatbook.Widgets.base_components	create_form_field	def
0	1	tldw_chatbook.Utils.app_shutdown	claim_process_exit	def
0	1	tldw_chatbook.Utils.app_shutdown	disarm_exit_watchdog	def
0	1	tldw_chatbook.Utils.app_shutdown	graceful_shutdown_grace_seconds	def
0	1	tldw_chatbook.Utils.app_shutdown	owns_process_exit	def
0	1	tldw_chatbook.Utils.app_shutdown	termination_requested	def
0	1	tldw_chatbook.Utils.custom_tokenizers	CustomTokenizerManager	class
0	1	tldw_chatbook.Utils.custom_tokenizers	get_tokenizer_manager	def
0	1	tldw_chatbook.Utils.doctor	DoctorCheck	class
0	1	tldw_chatbook.Utils.doctor	check_config_load	def
0	1	tldw_chatbook.Utils.doctor	check_database_integrity	def
0	1	tldw_chatbook.Utils.doctor	check_optional_dependencies	def
0	1	tldw_chatbook.Utils.doctor	check_private_path_posture	def
0	1	tldw_chatbook.Utils.doctor	check_provider_readiness	def
0	1	tldw_chatbook.Utils.file_handlers	CodeFileHandler	class
0	1	tldw_chatbook.Utils.file_handlers	DataFileHandler	class
0	1	tldw_chatbook.Utils.file_handlers	DefaultFileHandler	class
0	1	tldw_chatbook.Utils.file_handlers	DocumentFileHandler	class
0	1	tldw_chatbook.Utils.file_handlers	EbookFileHandler	class
0	1	tldw_chatbook.Utils.file_handlers	FileHandler	class
0	1	tldw_chatbook.Utils.file_handlers	FileHandlerRegistry	class
0	1	tldw_chatbook.Utils.file_handlers	ImageFileHandler	class
0	1	tldw_chatbook.Utils.file_handlers	PDFFileHandler	class
0	1	tldw_chatbook.Utils.file_handlers	PlaintextDatabaseHandler	class
0	1	tldw_chatbook.Utils.file_handlers	TextFileHandler	class
0	1	tldw_chatbook.Utils.note_importers	CSVImporter	class
0	1	tldw_chatbook.Utils.note_importers	JSONImporter	class
0	1	tldw_chatbook.Utils.note_importers	NoteImporter	class
0	1	tldw_chatbook.Utils.note_importers	NoteImporterRegistry	class
0	1	tldw_chatbook.Utils.note_importers	ParsedNote	class
0	1	tldw_chatbook.Utils.note_importers	PlainTextImporter	class
0	1	tldw_chatbook.Utils.note_importers	YAMLImporter	class
0	1	tldw_chatbook.Utils.text_selection_crash_guard	match_selection_begin_container_crash	def
0	1	tldw_chatbook.Utils.text_wrap_index	divide_source_line	def
0	1	tldw_chatbook.Utils.textual_css_fastpath	is_installed	def
0	1	tldw_chatbook.Utils.tiktoken_runtime	BundledTiktokenAssetError	class
0	1	tldw_chatbook.Utils.widget_helpers	FeatureNotAvailableDialog	class
0	1	tldw_chatbook.Utils.widget_helpers	alert_audio_not_available	def
0	1	tldw_chatbook.Utils.widget_helpers	alert_embeddings_not_available	def
0	1	tldw_chatbook.Utils.widget_helpers	alert_local_llm_not_available	def
0	1	tldw_chatbook.Utils.widget_helpers	alert_ocr_not_available	def
0	1	tldw_chatbook.Utils.widget_helpers	alert_pdf_not_available	def
0	1	tldw_chatbook.Utils.widget_helpers	alert_subscriptions_not_available	def
0	1	tldw_chatbook.Utils.widget_helpers	alert_web_server_not_available	def
0	1	tldw_chatbook.Utils.widget_helpers	check_feature_availability	def
0	1	tldw_chatbook.Utils.widget_helpers	show_feature_alert	def
0	2	tldw_chatbook.Utils.boot_worker_policy	BootWorkerSpec	class
0	2	tldw_chatbook.Utils.boot_worker_policy	BootWorkerTier	class
0	2	tldw_chatbook.Utils.boot_worker_policy	describe_policy	def
0	2	tldw_chatbook.Utils.reasoning_config	ConsoleReasoningConfig	class
0	2	tldw_chatbook.Utils.reasoning_config	ConsoleReasoningConfigResolution	class
0	2	tldw_chatbook.Utils.terminal_utils	is_image_support_available	def
0	3	tldw_chatbook.Widgets.form_components	FormField	class
0	3	tldw_chatbook.Widgets.form_components	FormFieldSet	class
0	3	tldw_chatbook.Widgets.form_components	FormSubmitButton	class
0	3	tldw_chatbook.Widgets.form_components	ValidationStatus	class
0	3	tldw_chatbook.Widgets.form_components	create_button_group	def
0	3	tldw_chatbook.Widgets.form_components	create_form_row	def
0	3	tldw_chatbook.Widgets.form_components	create_form_section	def
0	3	tldw_chatbook.Widgets.form_components	create_status_area	def
0	3	tldw_chatbook.Widgets.form_components	form_validator	def
0	4	tldw_chatbook.Utils.text	extract_text_from_segments	def
0	4	tldw_chatbook.Utils.text	format_metadata_as_text	def
